RELIANCE,10.56
HDFCBANK,8.87
INFY,8.60
HDFC,6.55
ICICIBANK,6.72
TCS,4.96
KOTAKBANK,3.91
HINDUNILVR,2.81
AXIS BANK,2.29
LT,2.89
ITC,2.60
SBIN,2.40
BAJFINANCE,2.52
ASIAN PAINT,1.92
BHARTIARTL,2.33
HCLTECH,1.68
MARUTI,1.27
TATASTEEL,1.14
WIPRO,1.28
ULTRACEMCO,1.16
M&M,1.09
BAJAJFINSV,1.42
SUNPHARMA,1.10
TITAN,1.35
TECHM,1.30
DRREDDY,0.77
JSWSTEEL,0.82
NESTLEIND,0.93
INDUSINDBK,0.70
TATAMOTORS,1.12
POWERGRID,0.96
GRASIM,0.86
HDFCLIFE,0.86
DIVISLAB,0.85
NTPC,0.82
HINDALCO,0.82
BAJAJ-AUTO,0.57
ADANIPORTS,0.68
CIPLA,0.67
TATACONSUM,0.63
SBILIFE,0.69
BPCL,0.48
UPL,0.51
BRITANNIA,0.57
ONGC,0.70
EICHERMOT,0.45
HEROMOTOCO,0.43
SHREECEM,0.47
COALINDIA,0.43
IOC,0.41
